Date,Nom du mois,t,Tendance_MCO,Coef_saisonnier,Prévision kMAD
2026-01-01,janvier,61,3509.984745762711,0.5968719649647444,2095
2026-02-01,février,62,3538.0842456237838,0.521342999371509,1845
2026-03-01,mars,63,3566.1837454848564,0.706776605020973,2520
2026-04-01,avril,64,3594.2832453459287,0.6152696286696846,2211
2026-05-01,mai,65,3622.382745207001,0.6548199416316158,2372
2026-06-01,juin,66,3650.4822450680736,0.5755957298262271,2101
2026-07-01,juillet,67,3678.581744929146,1.2350499281954377,4543
2026-08-01,août,68,3706.6812447902184,2.565110681159559,9508
2026-09-01,septembre,69,3734.780744651291,2.3087442740351056,8623
2026-10-01,octobre,70,3762.880244512364,1.0956346005646296,4123
2026-11-01,novembre,71,3790.979744373436,0.595738259990695,2258
2026-12-01,décembre,72,3819.0792442345087,0.5290453865698189,2020
